,secID,ticker,exchangeCD,secShortName,tradeDate,listStatusCD,currencyCD,dailyReturnReinv,dailyReturnNoReinv,isChgPctl
174,300176.XSHE,300176,XSHE,派生科技,2015-02-27,L,CNY,0.011815,0.011815,0
175,300177.XSHE,300177,XSHE,中海达,2015-02-27,L,CNY,0.021314,0.021314,0
176,300178.XSHE,300178,XSHE,腾邦国际,2015-02-27,L,CNY,0.02852,0.02852,0
177,300179.XSHE,300179,XSHE,四方达,2015-02-27,L,CNY,0.015873,0.015873,0
178,300180.XSHE,300180,XSHE,华峰超纤,2015-02-27,L,CNY,-0.004017,-0.004017,0
179,300181.XSHE,300181,XSHE,佐力药业,2015-02-27,S,CNY,,,0
180,300182.XSHE,300182,XSHE,捷成股份,2015-02-27,L,CNY,0.020316,0.020316,0
181,300183.XSHE,300183,XSHE,东软载波,2015-02-27,L,CNY,0.036754,0.036754,0
182,300184.XSHE,300184,XSHE,力源信息,2015-02-27,S,CNY,,,0
183,300185.XSHE,300185,XSHE,通裕重工,2015-02-27,L,CNY,0.021739,0.021739,0
184,300187.XSHE,300187,XSHE,永清环保,2015-02-27,L,CNY,0.010144,0.010144,0
185,300188.XSHE,300188,XSHE,美亚柏科,2015-02-27,L,CNY,0.015913,0.015913,0
186,300189.XSHE,300189,XSHE,神农科技,2015-02-27,L,CNY,0.024096,0.024096,0
187,300190.XSHE,300190,XSHE,维尔利,2015-02-27,L,CNY,0.012941,0.012941,0
188,300191.XSHE,300191,XSHE,潜能恒信,2015-02-27,L,CNY,0.018327,0.018327,0
189,300192.XSHE,300192,XSHE,科斯伍德,2015-02-27,S,CNY,,,0
190,300193.XSHE,300193,XSHE,佳士科技,2015-02-27,L,CNY,0.020486,0.020486,0
191,300194.XSHE,300194,XSHE,福安药业,2015-02-27,L,CNY,0.001905,0.001905,0
192,300195.XSHE,300195,XSHE,长荣股份,2015-02-27,S,CNY,,,0
193,300196.XSHE,300196,XSHE,长海股份,2015-02-27,L,CNY,0.027254,0.027254,0
194,300197.XSHE,300197,XSHE,铁汉生态,2015-02-27,L,CNY,0.000601,0.000601,0
195,300198.XSHE,300198,XSHE,纳川股份,2015-02-27,L,CNY,0.025287,0.025287,0
196,300199.XSHE,300199,XSHE,翰宇药业,2015-02-27,L,CNY,-0.008334,-0.008334,0
197,300200.XSHE,300200,XSHE,高盟新材,2015-02-27,L,CNY,0.032967,0.032967,0
198,300201.XSHE,300201,XSHE,海伦哲,2015-02-27,S,CNY,,,0
199,300202.XSHE,300202,XSHE,聚龙股份,2015-02-27,L,CNY,0.013311,0.013311,0
200,300203.XSHE,300203,XSHE,聚光科技,2015-02-27,L,CNY,0.014227,0.014227,0
201,300204.XSHE,300204,XSHE,舒泰神,2015-02-27,L,CNY,0.033887,0.033887,0
202,300205.XSHE,300205,XSHE,天喻信息,2015-02-27,L,CNY,0.028296,0.028296,0
203,300206.XSHE,300206,XSHE,理邦仪器,2015-02-27,L,CNY,-0.005168,-0.005168,0
204,300207.XSHE,300207,XSHE,欣旺达,2015-02-27,L,CNY,0.022777,0.022777,0
205,300208.XSHE,300208,XSHE,青岛中程,2015-02-27,L,CNY,0.014354,0.014354,0
206,300209.XSHE,300209,XSHE,天泽信息,2015-02-27,L,CNY,0.024554,0.024554,0
207,300210.XSHE,300210,XSHE,森远股份,2015-02-27,L,CNY,0.014666,0.014666,0
208,300211.XSHE,300211,XSHE,亿通科技,2015-02-27,L,CNY,0.010498,0.010498,0
209,300212.XSHE,300212,XSHE,易华录,2015-02-27,L,CNY,0.085882,0.085882,0
210,300213.XSHE,300213,XSHE,佳讯飞鸿,2015-02-27,L,CNY,0.005853,0.005853,0
211,300214.XSHE,300214,XSHE,日科化学,2015-02-27,L,CNY,0.011666,0.011666,0
212,300215.XSHE,300215,XSHE,电科院,2015-02-27,L,CNY,0.012429,0.012429,0
213,300216.XSHE,300216,XSHE,千山药机,2015-02-27,L,CNY,0.015769,0.015769,0
214,300217.XSHE,300217,XSHE,东方电热,2015-02-27,L,CNY,-0.001545,-0.001545,0
215,300218.XSHE,300218,XSHE,安利股份,2015-02-27,L,CNY,0.009182,0.009182,0
216,300219.XSHE,300219,XSHE,鸿利智汇,2015-02-27,L,CNY,0.021462,0.021462,0
217,300220.XSHE,300220,XSHE,金运激光,2015-02-27,L,CNY,0.067222,0.067222,0
218,300221.XSHE,300221,XSHE,银禧科技,2015-02-27,L,CNY,-0.002929,-0.002929,0
219,300222.XSHE,300222,XSHE,科大智能,2015-02-27,S,CNY,,,0
220,300223.XSHE,300223,XSHE,北京君正,2015-02-27,L,CNY,0.018424,0.018424,0
221,300224.XSHE,300224,XSHE,正海磁材,2015-02-27,L,CNY,-0.004888,-0.004888,0
222,300225.XSHE,300225,XSHE,金力泰,2015-02-27,L,CNY,0.006617,0.006617,0
223,300226.XSHE,300226,XSHE,上海钢联,2015-02-27,L,CNY,0.06281,0.06281,0
224,300227.XSHE,300227,XSHE,光韵达,2015-02-27,L,CNY,0.03384,0.03384,0
225,300228.XSHE,300228,XSHE,富瑞特装,2015-02-27,L,CNY,0.028105,0.028105,0
226,300229.XSHE,300229,XSHE,拓尔思,2015-02-27,L,CNY,0.026699,0.026699,0
227,300230.XSHE,300230,XSHE,永利股份,2015-02-27,L,CNY,0.012562,0.012562,0
228,300231.XSHE,300231,XSHE,银信科技,2015-02-27,L,CNY,0.092024,0.092024,0
229,300232.XSHE,300232,XSHE,洲明科技,2015-02-27,S,CNY,,,0
230,300233.XSHE,300233,XSHE,金城医药,2015-02-27,S,CNY,,,0
231,300234.XSHE,300234,XSHE,开尔新材,2015-02-27,L,CNY,0.010514,0.010514,0
232,300235.XSHE,300235,XSHE,方直科技,2015-02-27,L,CNY,0.00796,0.00796,0
233,300236.XSHE,300236,XSHE,上海新阳,2015-02-27,L,CNY,0.051668,0.051668,0
234,300237.XSHE,300237,XSHE,美晨生态,2015-02-27,L,CNY,0.10007,0.10007,0
235,300238.XSHE,300238,XSHE,冠昊生物,2015-02-27,L,CNY,0.032268,0.032268,0
236,300239.XSHE,300239,XSHE,东宝生物,2015-02-27,L,CNY,0.012412,0.012412,0
237,300240.XSHE,300240,XSHE,飞力达,2015-02-27,L,CNY,0.022988,0.022988,0
238,300241.XSHE,300241,XSHE,瑞丰光电,2015-02-27,L,CNY,0.012374,0.012374,0
239,300242.XSHE,300242,XSHE,佳云科技,2015-02-27,L,CNY,0.001946,0.001946,0
240,300243.XSHE,300243,XSHE,瑞丰高材,2015-02-27,S,CNY,,,0
241,300244.XSHE,300244,XSHE,迪安诊断,2015-02-27,L,CNY,0.074477,0.074477,0
242,300245.XSHE,300245,XSHE,天玑科技,2015-02-27,L,CNY,0.051213,0.051213,0
243,300246.XSHE,300246,XSHE,宝莱特,2015-02-27,L,CNY,0.003799,0.003799,0
244,300247.XSHE,300247,XSHE,融捷健康,2015-02-27,S,CNY,,,0
245,300248.XSHE,300248,XSHE,新开普,2015-02-27,L,CNY,0.099927,0.099927,0
246,300249.XSHE,300249,XSHE,依米康,2015-02-27,L,CNY,0.01582,0.01582,0
247,300250.XSHE,300250,XSHE,初灵信息,2015-02-27,L,CNY,0.024903,0.024903,0
248,300251.XSHE,300251,XSHE,光线传媒,2015-02-27,L,CNY,0.017462,0.017462,0
249,300252.XSHE,300252,XSHE,金信诺,2015-02-27,L,CNY,0.024267,0.024267,0
250,300253.XSHE,300253,XSHE,卫宁健康,2015-02-27,L,CNY,0.019495,0.019495,0
251,300254.XSHE,300254,XSHE,仟源医药,2015-02-27,L,CNY,0.01002,0.01002,0
252,300255.XSHE,300255,XSHE,常山药业,2015-02-27,L,CNY,0.013545,0.013545,0
253,300256.XSHE,300256,XSHE,星星科技,2015-02-27,L,CNY,0.015124,0.015124,0
254,300257.XSHE,300257,XSHE,开山股份,2015-02-27,L,CNY,0.039308,0.039308,0
255,300258.XSHE,300258,XSHE,精锻科技,2015-02-27,L,CNY,0.013368,0.013368,0
256,300259.XSHE,300259,XSHE,新天科技,2015-02-27,L,CNY,0.008968,0.008968,0
257,300260.XSHE,300260,XSHE,新莱应材,2015-02-27,L,CNY,0.012506,0.012506,0
258,300261.XSHE,300261,XSHE,雅本化学,2015-02-27,L,CNY,0.000613,0.000613,0
259,300262.XSHE,300262,XSHE,巴安水务,2015-02-27,L,CNY,0.011198,0.011198,0
260,300263.XSHE,300263,XSHE,隆华科技,2015-02-27,L,CNY,-0.007173,-0.007173,0
261,300264.XSHE,300264,XSHE,佳创视讯,2015-02-27,L,CNY,0.00271,0.00271,0
262,300265.XSHE,300265,XSHE,通光线缆,2015-02-27,L,CNY,0.013928,0.013928,0
263,300266.XSHE,300266,XSHE,兴源环境,2015-02-27,L,CNY,-0.00018,-0.00018,0
264,300267.XSHE,300267,XSHE,尔康制药,2015-02-27,L,CNY,0.000256,0.000256,0
265,300268.XSHE,300268,XSHE,佳沃股份,2015-02-27,L,CNY,0.005376,0.005376,0
266,300269.XSHE,300269,XSHE,联建光电,2015-02-27,L,CNY,0.01763,0.01763,0
267,300270.XSHE,300270,XSHE,中威电子,2015-02-27,L,CNY,0.022522,0.022522,0
268,300271.XSHE,300271,XSHE,华宇软件,2015-02-27,L,CNY,0.04901,0.04901,0
269,300272.XSHE,300272,XSHE,开能健康,2015-02-27,L,CNY,0.014492,0.014492,0
270,300273.XSHE,300273,XSHE,和佳股份,2015-02-27,L,CNY,0.008,0.008,0
271,300274.XSHE,300274,XSHE,阳光电源,2015-02-27,L,CNY,-0.000481,-0.000481,0
272,300275.XSHE,300275,XSHE,梅安森,2015-02-27,L,CNY,-0.006817,-0.006817,0
273,300276.XSHE,300276,XSHE,三丰智能,2015-02-27,L,CNY,0.072768,0.072768,0
274,300277.XSHE,300277,XSHE,海联讯,2015-02-27,L,CNY,0.023376,0.023376,0
275,300278.XSHE,300278,XSHE,华昌达,2015-02-27,L,CNY,-0.017496,-0.017496,0
276,300279.XSHE,300279,XSHE,和晶科技,2015-02-27,L,CNY,0.026753,0.026753,0
277,300280.XSHE,300280,XSHE,紫天科技,2015-02-27,L,CNY,0.008119,0.008119,0
278,300281.XSHE,300281,XSHE,金明精机,2015-02-27,L,CNY,-0.00179,-0.00179,0
279,300282.XSHE,300282,XSHE,三盛教育,2015-02-27,L,CNY,0.024408,0.024408,0
280,300283.XSHE,300283,XSHE,温州宏丰,2015-02-27,L,CNY,0.010543,0.010543,0
281,300284.XSHE,300284,XSHE,苏交科,2015-02-27,L,CNY,0.100207,0.100207,0
282,300285.XSHE,300285,XSHE,国瓷材料,2015-02-27,L,CNY,0.014701,0.014701,0
283,300286.XSHE,300286,XSHE,安科瑞,2015-02-27,L,CNY,0.017234,0.017234,0
284,300287.XSHE,300287,XSHE,飞利信,2015-02-27,L,CNY,0.055676,0.055676,0
