dailyReturnNoReinv,exchangeCD,ListSector,totalShares,nonrestFloatShares,nonrestfloatA,TShEquity,AccountsPayablesTDays,AccountsPayablesTRate,AdminiExpenseRate,ARTDays,ARTRate,ASSI,BLEV,BondsPayableToAsset,CashRateOfSales,CashToCurrentLiability,CMRA,CTOP,CTP5,CurrentAssetsRatio
1.0,0,1,598157700.0,598157700.0,598157700.0,1923291886.21,299.4759,1.2021,0.1281,191.6423,1.8785,22.654,1.0371,0.0,0.024,0.0483,0.9485,0.0,0.0005,0.7768
1.0,1,1,12894536000.0,12894536000.0,7735820000.0,20973094939.4,8.0923,44.4867,0.079,36.3075,9.9153,24.2788,1.3441,0.0973,0.1578,0.7244,0.2239,0.012,0.0081,0.2578
0.0,0,2,694287300.0,471225600.0,471225600.0,3192771288.6,67.2859,5.3503,0.1835,9.8981,36.3705,22.1395,1.0136,0.0,0.3513,3.3507,0.7469,0.0118,0.003,0.5172
0.0,1,1,1529758000.0,1529758000.0,1529758000.0,10979440856.6,242.8658,1.4823,0.0195,144.173,2.497,24.3756,2.0047,0.0,-0.0643,0.0389,0.4855,0.005,0.0038,0.7229
0.0,0,1,1145642400.0,1145634400.0,1145634400.0,5738299019.76,127.35700000000001,2.8267,0.1518,267.1218,1.3477,22.6836,1.0707,0.0,0.3414,1.8591,0.8417,0.0027,0.0008,0.5971
0.0,0,2,603000000.0,380942200.0,380942200.0,1370155049.3,61.6576,5.8387,0.122,66.6914,5.398,21.2434,1.0143,0.0,0.2284,2.6092,0.8925,0.0143,0.0083,0.5935
0.0,0,0,923426400.0,638078200.0,638078200.0,4996217365.49,37.6762,9.5551,0.1021,-13.2169,-27.2378,22.6339,1.0821,0.0,0.1803,1.0939,0.4725,0.0132,0.0126,0.4756
0.0,1,1,1777679900.0,1777679900.0,1777679900.0,6575581301.89,76.1019,4.7305,0.546,-140.1869,-2.568,23.0488,1.0157,0.0,0.4928,-0.2111,0.2186,0.0291,0.022000000000000002,0.56
1.0,0,2,206543700.0,110047400.0,110047400.0,994270712.67,107.9104,3.3361,0.1312,108.9094,3.3055,20.8306,1.016,0.0,0.1122,1.3229,0.9023,0.0024,0.0036,0.6275
1.0,0,0,2454870400.0,1896227900.0,1896227900.0,3884392034.77,-36.5423,-9.8516,0.0444,118.7805,3.0308,22.0891,1.0564,0.0,0.3412,2.658,0.5527,0.0045,0.0019,0.6056
0.0,1,1,1050000000.0,1050000000.0,1050000000.0,4004240422.65,105.0328,3.4275,0.0578,-181.5797,-1.9826,23.4819,2.5513,0.0931,-1.2259,0.2155,0.4104,0.0147,0.0102,0.8374
1.0,0,0,1007690600.0,772488700.0,772488700.0,4773417511.04,20.4359,17.6161,0.0267,42.598,8.4511,22.4614,1.0019,0.0,-0.0174,0.7191,0.4141,0.0037,0.0027,0.5271
0.0,1,1,658876400.0,658876400.0,658876400.0,3542573992.95,27.7369,12.9791,0.0202,27.5261,13.0785,22.0167,1.004,0.0,0.1686,6.9131,0.5775,0.0141,0.0137,0.5356
0.0,0,2,3098394200.0,2512662900.0,2512662900.0,6295415814.17,58.5185,6.1519,0.14400000000000002,24.2687,14.8339,22.9578,1.3055,0.0,0.2252,1.9128,0.9119,0.0061,0.008,0.3766
1.0,0,0,256000100.0,176574900.0,176574900.0,978328036.78,27.9503,12.88,0.0757,53.2899,6.7555,20.8314,1.0096,0.0,-0.0019,0.2639,0.6857,0.0,0.006,0.4414
0.0,1,1,3399327400.0,2977547800.0,2977547800.0,5417299132.56,366.4868,0.9823,0.0719,-254.4709,-1.4147,23.7453,1.5491,0.0782,-0.0106,0.4055,0.3822,0.0638,0.026000000000000002,0.7726
0.0,1,1,4514583600.0,4514583600.0,4514583600.0,68276006189.0,99.2611,3.6268,0.0714,-519.4805,-0.693,26.1387,2.3119,0.1178,-0.1516,0.3066,0.4959,0.0514,0.0246,0.8298
0.0,1,1,522241700.0,522241700.0,522241700.0,4508708166.58,13.3712,26.9235,0.015,-15.6631,-22.984,22.8144,1.1168,0.0,0.0,1.0473,0.8773,0.013000000000000001,0.0048,0.5885
1.0,1,1,2242433200.0,730852200.0,730852200.0,6668664435.23,-4.8354,-74.4513,0.0164,2.4545,146.6714,24.1459,1.6117,0.0979,0.0244,0.254,0.5929,0.0343,0.0048,0.6446
0.0,0,0,814461100.0,778935800.0,778935800.0,4158705323.99,-2.9824,-120.7062,0.0668,141.2374,2.5489,22.3564,1.0703,0.0,0.0905,1.5930000000000002,0.2763,0.0174,0.0138,0.5198
0.0,0,0,801081700.0,766273700.0,766273700.0,4036429916.88,163.4358,2.2027,0.10099999999999999,139.7027,2.5769,22.6611,1.0614,0.0,0.064,0.1478,0.2409,0.0044,0.0038,0.5563
1.0,1,1,8904397700.0,8486909900.0,8486909900.0,36954701997.2,106.5278,3.3794,0.0615,-85.1104,-4.2298,25.9734,2.7235,0.0228,0.0236,0.4533,0.2889,0.0447,0.0275,0.7985
0.0,0,0,388689400.0,386982600.0,386982600.0,1272155439.86,131.9068,2.7292,0.1436,256.9777,1.4009,21.0877,1.001,0.0,-0.0815,0.6939,0.4435,0.0,0.0,0.7033
1.0,0,1,700577500.0,310462600.0,310462600.0,2949167027.47,155.7767,2.311,0.1478,82.95700000000001,4.3396,22.1041,1.2744,0.0,0.2933,0.4644,0.679,0.0015,0.0004,0.1749
1.0,1,1,1176359300.0,1176359300.0,1176359300.0,3634329597.45,129.7157,2.7753,0.0622,56.42100000000001,6.3806,22.5747,1.3098,0.0,0.1056,0.8178,0.7627,0.004,0.011000000000000001,0.44299999999999995
1.0,0,1,283161200.0,283161200.0,181165400.0,324226234.72,49.5984,7.2583,0.0484,99.8198,3.6065,20.2128,1.0002,0.0,0.0365,0.2696,0.8094,0.0,0.0,0.5364
1.0,0,2,674291500.0,322027200.0,322027200.0,4181641801.46,244.6317,1.4716,0.054000000000000006,261.704,1.3756,22.6311,1.2428,0.0738,-0.0278,0.5463,0.3644,0.0044,0.0042,0.6679999999999999
0.0,0,2,277031800.0,199498500.0,199498500.0,1437419604.96,332.1646,1.0838,0.3903,370.9428,0.9705,21.1575,1.003,0.0,0.3576,7.3525,1.3313,0.0,0.0017,0.6049
0.0,1,1,352031200.0,340931600.0,340931600.0,1319126269.59,121.8027,2.9556,0.1053,108.0465,3.3319,21.3415,1.0008,0.0,-0.0415,0.5998,1.0151,0.0,0.001,0.8742
0.0,0,0,323395300.0,323376800.0,323376800.0,1551160758.09,7.5176,47.8879,0.0521,0.1913,1882.1912,21.5716,1.0531,0.0,0.0875,0.1084,0.8062,0.0,0.0,0.2579
0.0,1,1,1844562900.0,1844562900.0,1844562900.0,11559883205.2,84.4575,4.2625,0.0438,-344.5636,-1.0448,24.4018,2.0377,0.0706,-0.0636,0.3991,0.5368,0.0096,0.004,0.8691
1.0,0,0,510657000.0,510657000.0,510657000.0,1454765669.5,207.3494,1.7362,0.0938,79.9094,4.5051,21.5646,1.4492,0.0,0.076,0.8737,0.4403,0.0013,0.0009,0.442
0.0,1,1,2194891200.0,2194891200.0,2194891200.0,3085377564.26,165.7077,2.1725,0.1019,54.3544,6.6232,23.1575,1.4641,0.0,0.0133,0.2346,0.5849,0.0,0.0019,0.5018
0.0,0,2,816206000.0,542907500.0,542907500.0,3222870403.39,104.6785,3.4391,0.1067,70.7686,5.087,22.1764,1.0262,0.0,0.0932,0.5651,0.5679,0.0132,0.0064,0.5587
1.0,0,2,2432818700.0,2173081100.0,2173081100.0,8688095588.16,65.5941,5.4883,0.1526,80.64699999999999,4.4639,23.1039,1.0471,0.0,0.1306,0.9115,0.9631,0.0029,0.0037,0.5507
1.0,0,0,220597400.0,220299100.0,220299100.0,811881755.61,161.9943,2.2223,0.2001,234.1463,1.5375,20.7645,1.0354,0.0,0.0658,0.5764,0.7754,0.0016,0.0016,0.6144
0.0,1,1,3475107100.0,3475107100.0,3475107100.0,6250714089.9,213.8402,1.6835,0.0935,-3.1284,-115.0741,22.6586,1.0314,0.0,0.4185,0.8063,0.2415,0.0183,0.0183,0.5069
1.0,0,0,539229300.0,356493200.0,356493200.0,3435296258.12,40.1759,8.9606,0.0887,68.5153,5.2543,22.1289,1.0087,0.0,0.2095,0.1483,0.3245,0.0239,0.0177,0.4505
0.0,0,2,685209361.0,274506595.0,274506595.0,2473690542.19,15.8479,22.715999999999998,0.1245,31.5524,11.4096,22.1789,1.0595,0.0,0.1749,1.7046,0.831,0.0053,0.0007,0.32899999999999996
0.0,0,0,715291500.0,710589100.0,710589100.0,2297542438.05,71.4442,5.0389,0.0464,84.1849,4.2763,22.4024,1.2381,0.0,0.0057,0.0917,0.6621,0.0038,0.0012,0.5266
0.0,0,0,602058100.0,592964300.0,592964300.0,1528599411.94,92.7166,3.8828,0.0711,102.0321,3.5283,21.8721,1.1652,0.0,0.0188,0.0464,0.708,0.015,0.0063,0.4487
