ticker,monthBeginDate,chgPct
000926,2019-01-02,0.02124183
000930,2019-06-03,-0.04081633
000930,2019-05-06,-0.06107784
000930,2019-04-01,-0.03579677
000930,2019-03-01,0.05867971
000930,2019-02-01,0.26234568
000930,2019-01-02,-0.12668464
000932,2019-06-03,-0.26952527
000932,2019-05-06,-0.13395225
000932,2019-04-01,-0.00527704
000932,2019-03-01,-0.01940492
000932,2019-02-01,0.11705202
000932,2019-01-02,0.14191419
000937,2019-06-03,-0.00515464
000937,2019-05-06,-0.09345794
000937,2019-04-01,-0.01382488
000937,2019-03-01,0.03579952
000937,2019-02-01,0.13243243
000937,2019-01-02,-0.01856764
000959,2019-06-03,-0.0084507
000959,2019-05-06,-0.10126582
000959,2019-04-01,-0.10022779
000959,2019-03-01,0.02331002
000959,2019-02-01,0.12303665
000959,2019-01-02,0.02412869
000960,2019-06-03,-0.01845343
000960,2019-05-06,-0.04047218
000960,2019-04-01,-0.01821192
000960,2019-03-01,-0.03205128
000960,2019-02-01,0.22473013
000960,2019-01-02,0.06813417
000970,2019-06-03,-0.12355212
000970,2019-05-06,0.26341463
000970,2019-04-01,0.04698672
000970,2019-03-01,0.06761178
000970,2019-02-01,0.23252688
000970,2019-01-02,0.01500682
000975,2019-06-03,0.25978988
000975,2019-05-06,0.02848723
000975,2019-04-01,-0.06519743
000975,2019-03-01,0.01870907
000975,2019-02-01,0.05424063
000975,2019-01-02,-0.00490677
000980,2019-06-03,-0.03661327
000980,2019-05-06,-0.20400729
000980,2019-04-01,0.04571429
000980,2019-03-01,0.00574713
000980,2019-02-01,0.29207921
000980,2019-01-02,-0.0669746
000983,2019-06-03,-0.01623377
000983,2019-05-06,-0.10465116
000983,2019-04-01,0.10433387
000983,2019-03-01,-0.0032
000983,2019-02-01,0.14468864
000983,2019-01-02,-0.00546448
000987,2019-06-03,-0.01635769
000987,2019-05-06,-0.12164751
000987,2019-04-01,-0.04744526
000987,2019-03-01,0.07345739
000987,2019-02-01,0.33464052
000987,2019-01-02,-0.04015056
000988,2019-06-03,0.08281999
000988,2019-05-06,-0.01748487
000988,2019-04-01,-0.0369171
000988,2019-03-01,0.05034014
000988,2019-02-01,0.25426621
000988,2019-01-02,-0.01842546
000990,2019-06-03,-0.12898089
000990,2019-05-06,-0.16600266
000990,2019-04-01,-0.13248848
000990,2019-03-01,1.00461894
