ticker,lastChgPct,tradeDate,marketValue,negMarketValue,PE,PB,FY12P,PCF,NetAssetGrowRate,VSTD10,MACD,RSI,ROE,plusDI,minusDI,ADX,ASI,Hurst,avgTurnoverRate,label
000012,-0.08707608,2017-05-02,20794862712.0,13027289574.0,27.2535,2.6056,0.055,8.8231,0.0284,3428166.5999,-0.2392,5.3725,0.0967,7.7548,43.2049,47.3869,-28.0997,0.5893,0.0072,-0.10843373
000012,-0.06190886,2017-04-05,23534305704.0,14788175346.0,24.8887,2.9565,0.0482,11.7443,0.0685,4759540.1877,-0.015,44.4444,0.1205,36.6888,23.3034,22.7767,-4.1826,0.5702,0.016,-0.08707608
000012,0.02286719,2017-03-01,24177659740.0,15192437635.0,25.569,3.0374,0.0469,12.0654,0.0685,9551070.6283,-0.0944,37.0989,0.1205,19.6056,25.8195,26.8095,-9.7223,0.6786,0.0124,-0.06190886
000012,0.0026455,2017-02-03,23658825840.0,14866419660.0,25.0204,2.9722,0.0476,11.8065,0.0685,13295344.2076,0.055,36.8201,0.1205,21.8471,16.8047,16.3239,7.8646,0.7274,0.0291,0.02286719
000012,-0.18181818,2017-01-03,23658825840.0,14866419660.0,25.0204,2.9722,0.0463,11.8065,0.0685,8787448.3597,-0.0238,45.4717,0.1205,10.5684,21.3865,38.2682,-2.7181,0.7106,0.0256,0.0026455
000012,0.19174549,2016-12-01,28639631280.0,17996192220.0,30.2878,3.5979,0.0323,14.292,0.0685,76847265.6084,-0.0272,62.8799,0.1205,24.062,14.5798,50.1429,-20.0353,0.6857,0.0327,-0.18181818
000012,0.03011515,2016-11-01,24613480216.0,15466292734.0,26.03,3.0921,0.0369,12.2829,0.0685,5505312.1438,0.09,68.8119,0.1205,36.0781,18.4377,24.2436,0.307,0.6584,0.0648,0.19174549
000012,-0.07078189,2016-10-10,23783345976.0,14944663974.0,26.8475,3.0821,0.0361,13.3092,0.0532,2659167.4063,-0.0162,52.0873,0.1137,17.852,19.8939,32.2234,-4.3663,0.6095,0.0107,0.03011515
000012,0.12084871,2016-09-01,24509713436.0,15401089139.0,27.6674,3.1763,0.035,13.7156,0.0532,18187743.745,-0.1422,29.8097,0.1137,26.6837,18.2965,39.7712,-10.6613,0.5727,0.0096,-0.07078189
000012,-0.05410122,2016-08-01,22123077496.0,13901406454.0,29.6006,2.7386,0.0352,16.0894,-0.082,4522918.3861,-0.2234,17.4064,0.0946,7.9311,35.6568,33.0506,-23.7064,0.5853,0.0307,0.12084871
000012,0.03710407,2016-07-01,23368278856.0,14683849594.0,31.2666,2.8928,0.0325,16.995,-0.082,3772836.6737,0.0078,51.503,0.0946,23.5427,14.4253,16.6975,3.195,0.4375,0.0134,-0.05410122
000012,-0.02039007,2016-06-01,23243758720.0,14605605280.0,31.1,2.8774,0.0327,16.9044,-0.082,7837386.0286,0.13,66.1972,0.0946,44.2698,15.8678,23.2499,15.1099,0.5317,0.0158,0.03710407
000012,0.03676471,2016-05-03,24011632892.0,15088111883.0,32.1274,2.9724,0.0316,17.4629,-0.082,5893617.2276,0.0802,56.2365,0.0946,27.5582,18.2772,18.5872,15.4032,0.5511,0.0109,-0.02039007
000012,0.13333333,2016-04-01,22123077496.0,13901406454.0,29.6006,2.7386,0.0338,20.2438,-0.0897,5765172.9556,0.0478,60.1766,0.0779,22.1999,18.3022,14.211,-0.4431,0.6858,0.0148,0.03676471
000012,-0.09090909,2016-03-01,20711849288.0,13014637562.0,33.1521,2.6303,0.0436,18.3351,-0.0948,20712279.0237,-0.138,45.9131,0.065,20.199,35.3321,26.9676,-68.6023,0.7124,0.0161,0.13333333
000012,-0.20898876,2016-02-01,21272189900.0,13366736975.0,34.049,2.7015,0.0417,18.8312,-0.0948,8188858.5646,0.1812,51.6622,0.065,19.2771,16.0431,30.4018,25.7972,0.7383,0.0282,-0.09090909
000012,0.34170854,2016-01-04,24945533912.0,15674944238.0,39.9286,3.168,0.0353,22.083,-0.0948,36333670.8103,-0.27,54.2052,0.065,26.7784,39.3786,34.5233,-84.5817,0.7028,0.0328,-0.20898876
000021,0.01391304,2019-02-01,8871694182.0,8860042413.0,17.2893,1.4355,0.0747,9.6956,0.0665,1595213.2632,-0.0526,42.1053,0.0877,14.2928,29.795,27.7661,-7.6693,0.6609,0.015,0.26243568
000021,-0.05427632,2019-01-02,8356753392.0,8345777928.0,16.2858,1.3522,0.0793,9.1329,0.0665,1878225.3545,-0.0886,30.5344,0.0877,9.5483,26.7341,39.976,-6.3242,0.7052,0.0053,0.01391304
