ticker,date,pred
-0.06704362,20190401,[-0.0038571]
0.04826418,20190301,[-0.00166797]
0.10892019,20190201,[0.00702955]
0.05864811,20190102,[-0.00777593]
0.02968827,20190603,[-0.01225409]
-0.07548033,20190506,[-0.01635949]
-0.05244907,20190401,[-0.0338798]
0.28882682,20190301,[-0.01223706]
0.06042654,20190201,[-0.01471788]
0.05434104,20190102,[-0.02392406]
0.01466993,20190603,[-0.01189091]
-0.11279826,20190506,[-0.02328783]
-0.02536998,20190401,[-0.02132729]
0.04415011,20190301,[-0.02890117]
0.22764228,20190201,[-0.00846729]
-0.07286432,20190102,[-0.02257014]
-0.01809955,20190603,[0.01147414]
-0.21352313,20190506,[-0.03669878]
0.02367942,20190401,[-0.01065682]
0.22544643,20190301,[-0.01281518]
0.37423313,20190201,[-0.00850998]
-0.01212121,20190102,[0.02885561]
0.0872549,20190603,[-0.00200612]
-0.07692308,20190506,[-0.00614198]
0.06660232,20190401,[0.00581518]
-0.00956023,20190301,[0.0101436]
0.11513859,20190201,[0.00700628]
-0.00530223,20190102,[-0.01051872]
-0.00250313,20190603,[-0.00059686]
-0.08997722,20190506,[-0.00050319]
-0.08636837,20190401,[-0.00665871]
0.06423034,20190301,[-0.00495838]
0.10797546,20190201,[-0.00685499]
0.09838275,20190102,[0.00091081]
-0.00094429,20190603,[0.00165742]
-0.06942004,20190506,[-0.00285083]
-0.00524476,20190401,[0.00419846]
0.00087489,20190301,[-0.00628927]
0.08960915,20190201,[0.00358652]
-0.03228782,20190102,[-0.00829949]
0.00617284,20190603,[-0.0066459]
-0.13676732,20190506,[-0.01074503]
-0.06010017,20190401,[-0.03325735]
0.19180263,20190301,[-0.01812764]
0.16720855,20190201,[-0.02734002]
0.20548712,20190102,[-0.01103631]
0.04418395,20190603,[0.00780845]
-0.17485119,20190506,[-0.00044663]
-0.06013986,20190401,[-0.00288192]
0.15602264,20190301,[0.01810682]
0.34896401,20190201,[0.03712122]
-0.04079498,20190102,[-0.00267097]
0.0030303,20190603,[-0.00436139]
-0.06150018,20190506,[-0.00315767]
-0.10868188,20190401,[0.00118887]
-0.01896177,20190301,[-0.00161411]
0.23730769,20190201,[0.02322124]
-0.03201787,20190102,[-0.008904]
-0.03218884,20190603,[-0.00170206]
-0.11909263,20190506,[-0.00790642]
-0.12417219,20190401,[-0.01610867]
0.03424658,20190301,[-0.01557549]
0.22175732,20190201,[-0.00102951]
-0.05905512,20190102,[-0.01869048]
-0.09051724,20190603,[-0.02446105]
0.05175671,20190506,[-0.01424945]
0.06347931,20190401,[-0.00787648]
-0.05469047,20190301,[-0.02718187]
0.28126521,20190201,[-0.02141196]
0.24244256,20190102,[-0.01126283]
0.01794258,20190603,[0.00446132]
-0.15725806,20190506,[-0.00705683]
-0.01879327,20190401,[-0.00278735]
0.07324841,20190301,[-0.00592899]
0.21548387,20190201,[2.25262001e-05]
-0.07185629,20190102,[-0.00586079]
-0.01601164,20190603,[-0.00133596]
-0.09366755,20190506,[0.0037063]
-0.11032864,20190401,[-0.00813938]
0.19662921,20190301,[-0.00059566]
0.1986532,20190201,[0.00542085]
-0.03099511,20190102,[0.00613543]
0.04899777,20190603,[-0.00546713]
-0.07231405,20190506,[-0.0377213]
-0.03968254,20190401,[-0.03135306]
0.06779661,20190301,[-0.039128]
0.23884514,20190201,[0.009459]
-0.0078125,20190102,[-0.01090019]
0.00431034,20190603,[-0.00102325]
-0.09375,20190506,[-0.00048066]
-0.07913669,20190401,[-0.00464982]
